"Row ID","Incident Datetime","Incident Date","Incident Time","Incident Year","Incident Day of Week","Report Datetime","Incident ID","Incident Number","CAD Number","Report Type Code","Report Type Description","Filed Online","Incident Code","Incident Category","Incident Subcategory","Incident Description",Resolution,Intersection,CNN,"Police District","Analysis Neighborhood","Supervisor District","Supervisor District 2012",Latitude,Longitude,Point,data_as_of,data_loaded_at,Neighborhoods,"ESNCAG - Boundary File","Central Market/Tenderloin Boundary Polygon - Updated","Civic Center Harm Reduction Project Boundary","HSOC Zones as of 2018-06-05","Invest In Neighborhoods (IIN) Areas","Current Supervisor Districts","Current Police Districts",incident_date_clean
149088105011,"2025-06-17 01:34:00",2025-06-17,01:34:00,2025,Tuesday,"2025-06-17 16:59:00",1490881,250337455,251681531.0,II,Initial,,5011,Burglary,"Burglary - Residential","Burglary, Apartment House, Forcible Entry","Open or Active","04TH ST \ BERRY ST",23797000.0,Southern,"Mission Bay",6.0,6.0,37.7757873535156,-122.393356323242,"POINT (-122.393356323 37.775787354)","2025-06-18 09:38:27","2025-06-19 09:52:54",34.0,,,,,,10.0,1.0,NULL
149077706224,"2025-06-10 18:45:00",2025-06-10,18:45:00,2025,Tuesday,"2025-06-10 22:02:00",1490777,256058960,,II,"Coplogic Initial",1.0,6224,"Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, >$950","Open or Active","ELLIS ST \ GOUGH ST",26492000.0,Northern,"Western Addition",2.0,5.0,37.7834014892578,-122.424293518066,"POINT (-122.424293518 37.783401489)","2025-06-18 09:38:27","2025-06-19 09:52:54",100.0,,,,,,11.0,4.0,NULL
149082506244,"2025-06-08 17:00:00",2025-06-08,17:00:00,2025,Sunday,"2025-06-11 07:49:00",1490825,256058722,,II,"Coplogic Initial",1.0,6244,"Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","03RD ST \ SAINT FRANCIS PL",24592000.0,Southern,"South of Market",6.0,6.0,37.7829971313476,-122.397941589355,"POINT (-122.397941589 37.782997131)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,,,,,,10.0,1.0,NULL
149091775000,"2025-06-17 18:01:00",2025-06-17,18:01:00,2025,Tuesday,"2025-06-17 18:01:00",1490917,250180094,251682704.0,IS,"Initial Supplement",,75000,"Missing Person","Missing Person","Found Person","Open or Active","ELLIS ST \ TAYLOR ST",24926000.0,Tenderloin,Tenderloin,5.0,6.0,37.7850761413574,-122.411140441894,"POINT (-122.411140442 37.785076141)","2025-06-18 09:38:27","2025-06-19 09:52:54",20.0,,1.0,,,,10.0,5.0,NULL
149082828150,"2025-06-16 08:38:00",2025-06-16,08:38:00,2025,Monday,"2025-06-16 12:28:00",1490828,256059253,,II,"Coplogic Initial",1.0,28150,"Malicious Mischief",Vandalism,"Malicious Mischief, Vandalism to Property","Open or Active","DIVISADERO ST \ PAGE ST",26029000.0,Northern,"Haight Ashbury",5.0,5.0,37.7722053527832,-122.437232971191,"POINT (-122.437232971 37.772205353)","2025-06-18 09:38:27","2025-06-19 09:52:54",,,,,,,11.0,4.0,NULL
149080406360,"2025-06-12 10:00:00",2025-06-12,10:00:00,2025,Thursday,"2025-06-12 13:51:00",1490804,256058794,,II,"Coplogic Initial",1.0,6360,"Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, Att.","Open or Active","04TH ST \ MISSION ST",24632000.0,Southern,"South of Market",6.0,6.0,37.7844772338867,-122.404266357421,"POINT (-122.404266357 37.784477234)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,,,,,,10.0,1.0,NULL
149086207055,"2025-06-17 16:40:00",2025-06-17,16:40:00,2025,Tuesday,"2025-06-17 16:40:00",1490862,250337433,251682395.0,IS,"Initial Supplement",,7055,"Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Recovered, Stolen outside SF","Cite or Arrest Adult","HOLLADAY AVE \ YORK ST",20830000.0,Bayview,"Bernal Heights",9.0,9.0,37.7464752197265,-122.405212402343,"POINT (-122.405212402 37.74647522)","2025-06-18 09:38:27","2025-06-19 09:52:54",60.0,,,,,,2.0,9.0,NULL
149070507021,"2025-06-17 08:30:00",2025-06-17,08:30:00,2025,Tuesday,"2025-06-17 11:27:00",1490705,250336617,251681314.0,VI,"Vehicle Initial",,7021,"Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","CORONADO ST \ JAMESTOWN AVE",20434000.0,Bayview,"Bayview Hunters Point",10.0,10.0,37.7169227600097,-122.390724182128,"POINT (-122.390724182 37.71692276)","2025-06-18 09:38:27","2025-06-19 09:52:54",79.0,,,,,,9.0,2.0,NULL
149077528150,"2025-06-12 18:00:00",2025-06-12,18:00:00,2025,Thursday,"2025-06-13 12:03:00",1490775,256058443,,II,"Coplogic Initial",1.0,28150,"Malicious Mischief",Vandalism,"Malicious Mischief, Vandalism to Property","Open or Active","HILL ST \ VALENCIA ST",24118000.0,Mission,Mission,9.0,8.0,37.756103515625,-122.421043395996,"POINT (-122.421043396 37.756103516)","2025-06-18 09:38:27","2025-06-19 09:52:54",52.0,,,,3.0,,5.0,3.0,NULL
149062306372,"2025-06-11 09:00:00",2025-06-11,09:00:00,2025,Wednesday,"2025-06-12 12:00:00",1490623,256058766,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","ESSEX ST \ FOLSOM ST",24524000.0,Southern,"Financial District/South Beach",6.0,6.0,37.7863807678222,-122.395645141601,"POINT (-122.395645142 37.786380768)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,1.0,,,,,10.0,1.0,NULL
