GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,longitude,latitude,walkability_tier,neighborhood_name
60750310003,60750310003,6,75,31000,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",53.8749659,0.0,53.8749659,53.8749659,1394,545,487,994,0.7211058165690091,0.6404381716326283,257.4732024099527,272.25,14,16,20,18,17.666666666666668,2230.409830557325,218030.7837491928,-122.460143,37.727517,High,Other SF Area
60750311001,60750311001,6,75,31100,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",38.4719874,0.0,38.4719874,38.4719874,1192,515,495,595,0.7553568201645064,0.4052120749710495,138.67336627376835,308.46,7,18,17,18,15.833333333333334,1817.0988826143948,155693.03863458635,-122.437004,37.732514,Medium,Other SF Area
60750311002,60750311002,6,75,31100,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",46.260332299999995,0.0,46.260332299999995,46.26033,1356,560,560,886,0.7095817481212742,0.335308878493776,138.36130615084232,604.85,6,16,17,15,14.333333333333334,1818.544323495834,187212.9896713047,-122.443529,37.730154,Medium,Other SF Area
60750311003,60750311003,6,75,31100,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",90.3202391,0.0,90.3202391,90.3202391,972,290,242,449,0.1347672667375808,0.2872739198421443,295.33314200449234,0.0,5,2,20,20,14.5,2905.3078065090453,365523.2930565787,-122.449344,37.726363,Medium,Other SF Area
60750264021,60750264021,6,75,26402,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",21.6284159,0.0,21.6284159,21.6284159,1293,353,353,569,0.4765683673635981,0.3107895191992674,207.1940922867125,339.3,5,7,19,17,14.0,1354.7709519175276,87527.98963729164,-122.404806,37.718087,Medium,Other SF Area
60750228032,60750228032,6,75,22803,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",17.8337012,0.0,17.8337012,17.8337012,1704,507,474,733,0.6225941544005519,0.4155751224866658,143.54844074655685,410.38,8,12,17,16,14.333333333333332,1163.201383608983,72171.5014632739,-122.409976,37.756769,Medium,Potrero Hill
60750254022,60750254022,6,75,25402,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",20.3054425,0.0,20.3054425,20.3054425,791,343,289,543,0.4728723279660763,0.3483664115798008,367.72801183722055,42.92,6,7,20,20,15.5,1395.019656134259,82174.5014247667,-122.413146,37.736964,Medium,Bernal Heights
60750255001,60750255001,6,75,25500,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",39.0818302,0.0,39.0818302,39.0818302,1651,521,501,785,0.5357993182495526,0.4377245565685125,163.79171515872355,434.52,8,9,18,16,14.166666666666664,1702.316224059629,158160.3477365765,-122.429479,37.732729,Medium,Other SF Area
60750255004,60750255004,6,75,25500,4,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",22.3751521,0.0,22.3751521,22.3751521,1020,367,367,579,0.6530742503106067,0.5720031903765469,228.9110696145838,368.81,12,14,20,17,16.666666666666668,1265.4091205932452,90550.3752232443,-122.436367,37.725161,High,Other SF Area
60750260031,60750260031,6,75,26003,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",47.2885154,0.0,47.2885154,47.05104,2543,606,595,1306,0.5533243906839366,0.3154850057378333,130.83261226678306,53.64,5,10,16,20,14.5,1786.8518099690948,191376.0792361398,-122.427724,37.72128,Medium,Other SF Area
60750311005,60750311005,6,75,31100,5,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",49.0463848,0.0,49.0463848,48.67495,1882,727,676,986,0.7397422243202303,0.3642092110895906,187.0555809038957,307.12,6,17,19,18,16.166666666666664,2717.4258080222944,198489.3369757167,-122.446592,37.732336,High,Other SF Area
60750229012,60750229012,6,75,22901,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",22.5113042,0.0,22.5113042,19.58048,1904,595,558,897,0.4752892446585141,0.3815194008809642,720.4771369932446,177.03,7,7,20,19,15.333333333333332,1336.7724838078825,91101.71050138074,-122.412783,37.750447,Medium,Mission
60750352011,60750352011,6,75,35201,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",28.0008778,0.0,28.0008778,28.0008778,1024,393,384,613,0.7648457398609012,0.5388583478227743,91.42570523271236,122.04,11,18,13,20,15.833333333333332,1500.3813922850177,113317.36019543704,-122.505217,37.752039,Medium,Sunset/Parkside
60750353006,60750353006,6,75,35300,6,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",38.8077963,0.0,38.8077963,38.8078,1010,456,395,730,0.4536301138530614,0.7116270055930488,120.9488929419061,434.52,17,7,16,16,14.666666666666664,2050.915834024364,157053.20415665698,-122.500596,37.745693,Medium,Sunset/Parkside
60750477023,60750477023,6,75,47702,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",29.0740331,0.0,29.0740331,28.25517,1500,695,592,827,0.6316638280508595,0.2772987154676288,102.7556097815683,336.62,4,13,14,17,13.166666666666668,1541.7043987467289,117662.30684296084,-122.485327,37.773454,Medium,Other SF Area
60750331004,60750331004,6,75,33100,4,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",88.1566315,0.0,88.1566315,88.15663,1578,600,541,849,0.7076854863779578,0.7600899580766864,271.1029175383136,458.66,18,16,20,16,17.666666666666664,2599.841765016796,356766.53797806276,-122.489716,37.73193,High,Other SF Area
60750330001,60750330001,6,75,33000,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",43.433755399999995,0.0,43.433755399999995,43.43376,1357,566,566,780,0.7499706900299303,0.7760301705436439,171.914215826707,154.23,18,17,18,20,18.5,2096.9725900472913,175773.72527667414,-122.480473,37.741904,High,Sunset/Parkside
60750330003,60750330003,6,75,33000,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",145.7030092,2.1920241,143.5109851,70.02095,1515,540,478,930,0.4497670180583532,0.6535540987716683,438.6853031224855,578.02,15,7,20,15,15.333333333333334,3573.51940886946,589652.3071125275,-122.48256,37.737008,Medium,Other SF Area
60750330004,60750330004,6,75,33000,4,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",58.3506882,0.0,58.3506882,58.35069,1300,447,447,667,0.3365651622181226,0.4685828537228845,175.53451923125732,367.47,9,4,19,17,14.166666666666668,3514.6290298847334,236142.88640690432,-122.489958,37.735788,Medium,Other SF Area
60750330005,60750330005,6,75,33000,5,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",41.606698,0.0,41.606698,41.606698,1858,567,567,763,0.8451136089158947,0.5999733470154317,199.9678032609077,122.04,13,20,19,20,18.5,2025.2745702306645,168381.0623780596,-122.489862,37.741489,High,Sunset/Parkside
60750331001,60750331001,6,75,33100,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",43.562741599999995,0.0,43.562741599999995,43.56274,494,286,277,389,0.0857128452522042,0.6503673349445662,156.72842776268243,229.33,15,2,18,19,15.166666666666668,1683.2940172418894,176296.15677452515,-122.477583,37.732904,Medium,Other SF Area
60750331002,60750331002,6,75,33100,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",43.146625199999995,0.0,43.146625199999995,43.14663,1014,404,332,592,0.7410862049850473,0.3716615077201398,202.75421216489488,633.01,7,17,19,14,15.0,1692.071220806766,174610.87925219975,-122.482777,37.732787,Medium,Other SF Area
60750331003,60750331003,6,75,33100,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",46.4268777,0.0,46.4268777,44.76256,775,281,266,448,0.461288776532561,0.2460878095587248,160.87233021056682,341.99,4,7,18,17,13.5,1740.8755162231057,187888.7374045897,-122.495729,37.731516,Medium,Other SF Area
60750332011,60750332011,6,75,33201,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",239.8915988,0.0,239.8915988,236.84866,4483,731,620,1099,0.5710918765653339,0.6118110454099814,362.0835428772839,615.57,14,11,20,15,15.833333333333334,4216.177529089374,970829.2678359668,-122.479665,37.72627,Medium,Other SF Area
60750102003,60750102003,6,75,10200,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",31.984624,0.0,31.984624,31.05781,892,751,560,456,0.8433901715470216,0.9091536871054916,246.83860595015904,144.84,20,20,20,20,20.0,1942.70566676126,129439.49816210888,-122.423568,37.80441,High,Other SF Area
60750103001,60750103001,6,75,10300,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",32.094336399999996,0.0,32.094336399999996,31.843751851153996,1874,966,847,941,0.6646728312562599,0.6022889841472977,186.1512238651553,329.92,13,14,19,17,16.5,1690.758900194179,129881.95054830852,-122.416374,37.80315,High,North Beach
60750103003,60750103003,6,75,10300,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",18.9916118,0.0,18.9916118,18.9916118,1165,737,614,722,0.6973547426943227,0.336568291445024,370.7236686461757,52.3,6,15,20,20,16.833333333333336,1296.1621251298295,76859.15658028306,-122.415244,37.799583,High,Nob Hill
60750104004,60750104004,6,75,10400,4,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",14.9189096,0.0,14.9189096,14.9189096,574,506,362,481,0.6981415693097358,0.859435246608467,314.661066114376,337.96,20,15,20,17,18.166666666666668,993.3696734375088,60375.86888116119,-122.40422,37.800108,High,North Beach
60750105001,60750105001,6,75,10500,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",146.4065029,56.155451799999994,90.2510511,90.2510511,963,695,516,544,0.6604684246343732,0.7657614322187942,184.41713195736952,183.73,18,14,19,19,18.0,3593.161569405359,592500.3999337022,-122.399443,37.802374,High,Other SF Area
60750105002,60750105002,6,75,10500,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",144.65728199999998,65.98953759999999,78.66774439999999,74.025,1969,1341,1201,1011,0.655870626486408,0.8056957818276296,575.1134768775703,276.27,19,14,20,18,18.166666666666668,3400.418021889537,585419.8522480857,-122.394807,37.797096,High,Other SF Area
60750106002,60750106002,6,75,10600,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",18.4887633,0.0,18.4887633,18.4887633,1006,665,543,726,0.7691397805547431,0.8591309371969105,496.2495247045539,107.29,20,18,20,20,19.666666666666668,1155.6602102652002,74822.88819876086,-122.404229,37.798201,High,Financial District
60750107001,60750107001,6,75,10700,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",12.4496393,0.0,12.4496393,12.38376,722,429,310,634,0.5534026373651084,0.7080786107819862,377.0711654272586,109.97,16,10,20,20,17.666666666666668,1093.321293948721,50382.8086020537,-122.411403,37.80026,High,North Beach
60750107002,60750107002,6,75,10700,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",12.4852217,0.0,12.4852217,12.4852217,1464,687,643,670,0.7666851021286717,0.6009567477542175,205.0936748684246,257.5,13,18,19,18,17.5,1120.7504456263075,50525.33225683056,-122.410573,37.798517,High,Nob Hill
